,links,names,Type,Duration,Price,difficulty,Description,platform
10,https://online-learning.harvard.edu/course/blackburn-course-obesity-medicine-obesity-medicine-board-review?delta=0,Blackburn Course in Obesity Medicine: Obesity Medicine Board Review,Health & Medicine,self paced,$395,Advanced,"This HMS CME Online course is targeted to Primary and Specialty Care Physicians, Psychologists, Physician Assistants, Nurses, and Nurse Practitioners. This course may also be of interest to physicians who practice in Cardiology and Vascular Medicine, Endocrinology, Family Medicine, Gastroenterology, Internal Medicine, Lifestyle and Mind-Body Medicine, Obstetrics and Gynecology, Pediatrics and Adolescent Medicine. ",HMS Continuing Education
11,https://online-learning.harvard.edu/course/predictionx-john-snow-and-cholera-epidemic-1854?delta=0,PredictionX: John Snow and the Cholera Epidemic of 1854,Health & Medicine,1 week long,Free*,Introductory,"In 1854, a cholera epidemic swept through the London neighborhood of Soho. In about three weeks, over 600 people died. This incident was, tragically, not unusual in London or the rest of the 19th-century world as a whole. The scourge of cholera seemed unstoppable and, even worse, unpredictable. But one doctor — ignored by the scientific community at large — set out to prove that he knew how cholera was spread.",edX
12,https://online-learning.harvard.edu/course/cs50-introduction-computer-science?delta=0,CS50: Introduction to Computer Science,Programming,11 weeks long,Free*,Introductory,"This is CS50x , Harvard University's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience. An entry-level course taught by David J. Malan, CS50x teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, Python, SQL, and JavaScript plus CSS and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. The on-campus version of CS50x , CS50, is Harvard's largest course. ",edX
13,https://online-learning.harvard.edu/course/public-leadership-credential?delta=0,Public Leadership Credential,Social Sciences,10 weeks long,$775+,Intermediate,"Designed by renowned Harvard Kennedy School faculty, the Public Leadership Credential is an online professional credential program that gives change-makers the skills and knowledge necessary to advance the public good and make an immediate impact in their communities.",Other
14,https://online-learning.harvard.edu/course/sudden-cardiac-death-case-based-acls-review?delta=0,Sudden Cardiac Death: A Case-Based ACLS Review,Health & Medicine,self paced,$99,Advanced,"This HMS CME Online course is targeted to emergency medicine physicians as well as primary care physicians (e.g., internists, family practice physicians, and pediatricians) who practice emergency medicine. ",HMS Continuing Education
15,https://online-learning.harvard.edu/course/lifestyle-medicine-nutrition-and-metabolic-syndrome?delta=0,Lifestyle Medicine: Nutrition and the Metabolic Syndrome,Health & Medicine,self paced,$49,Intermediate,"This HMS CME Online course is targeted to Primary Care and Specialty Physicians, Pharmacists, Physician Assistants, Nurses, and Nurse Practitioners. This course may also be of interest to physicians who practice in all specialties.",Other
16,https://online-learning.harvard.edu/course/assessment-and-treatment-anxiety-primary-care-setting?delta=0,Assessment and Treatment of Anxiety in the Primary Care Setting,Health & Medicine,self paced,$149,Advanced,"This HMS CME Online course is targeted to primary care and specialty physicians, pharmacists, psychologists, physician assistants, nurses, and nurse practitioners. ",HMS Continuing Education
17,https://online-learning.harvard.edu/course/telephone-telemedicine-clinical-medicine-instrument-opportunity-risk?delta=0, The Telephone & Telemedicine in Clinical Medicine: An Instrument of Opportunity & Risk,Health & Medicine,self paced,$149,Intermediate,"This HMS CME Online course is targeted to Primary Care Physicians, Physicians Assistants, Nurses, Nurse Practitioners, and Liability Insurance Carriers. This course may also be of interest to physicians who practice in Critical Care and Trauma, Emergency Medicine, Family Medicine, and Pediatrics and Adolescent Medicine. ",Other
18,https://online-learning.harvard.edu/course/cognitive-fitness?delta=0,Cognitive Fitness,Health & Medicine,2 weeks long,$30,Introductory,"In this online course from Harvard Health Publishing, Harvard experts bring you a 6-step plan for boosting brain health and cognitive fitness. In this course you will learn about cognitive reserve — the brain's ability to find alternate ways of doing something — and how it can help fight the brain changes associated with dementia and other brain diseases. Plus, you'll find out how you can boost your own cognitive reserve and buffer memory loss by challenging your brain.",Other
19,https://online-learning.harvard.edu/course/6-week-plan-healthy-eating?delta=0,6-Week Plan For Healthy Eating,Health & Medicine,2 weeks long,$30,Introductory,"Although each food choice we make may seem small, it’s the little decisions we make each day that can derail our health goals and increase our risk for heart disease, stroke, diabetes and even cancer. In this all-new online course, Harvard Health Publishing presents an engaging, empowering and exciting way to learn about healthy eating. While the course is designed as a 6-week plan, you can watch and learn at your own pace.  ",Other
20,https://online-learning.harvard.edu/course/back-pain-finding-solutions-your-aching-back?delta=0,Back Pain: Finding Solutions for Your Aching Back,Health & Medicine,self paced,$30,Introductory,"In this online course from Harvard Health Publishing, Harvard faculty share the best practices, procedures and preventative steps to help you confidently determine how to best treat and defeat your back pain. This dynamic new course provides the essential and important facts on both common and rare back conditions and presents articulate and definitive instruction for addressing each one appropriately and effectively.",Other
21,https://online-learning.harvard.edu/course/controlling-your-blood-pressure?delta=0,Controlling your Blood Pressure,Health & Medicine,self paced,$30,Introductory,"Nearly half of American adults are considered to have high blood pressure, with double the risk of heart attacks and strokes, as well as increased risk of kidney failure, loss of eyesight and even Alzheimer’s. In this online course from Harvard Health Publishing, Harvard faculty share strategies for addressing hypertension’s causes and show you how to use today’s advances to your greatest advantage.",Other
22,https://online-learning.harvard.edu/course/starting-exercise?delta=0,Starting to Exercise,Health & Medicine,2 weeks long,$30,Introductory,"In this online course, Harvard Health Publishing brings you a valuable program highlighting forty-one exercises that together will help you achieve greater overall fitness. The course includes aerobic workouts for better cardiovascular health, strength training for your bones and muscles, plus essential balance and flexibility exercises.",Other
23,https://online-learning.harvard.edu/course/cs50-lawyers?delta=0,CS50 for Lawyers,Computer Science,10 weeks long,Free*,Introductory,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law students). Whereas CS50 itself takes a bottom-up approach, emphasizing mastery of low-level concepts and implementation details thereof, this course takes a top-down approach, emphasizing mastery of high-level concepts and design decisions related thereto. Ultimately, it equips students with a deeper understanding of the legal implications of technological decisions made by clients.",edX
24,https://online-learning.harvard.edu/course/introduction-tai-chi?delta=0,An Introduction to Tai Chi,Health & Medicine,2 weeks long,$30,Introductory,"Harvard health experts including medical researcher and Tai Chi instructor Peter Wayne, Ph.D. and renowned tai chi master Stanwood Chang teach you the basics of Tai Chi in this enjoyable, health-boosting, new online video course. Although tai chi may sound mysterious, recent studies show that it can help to strengthen your heart, build better balance, improve flexibility, slow the onset of dementia, reduce stress, lower blood pressure, help relieve the pain of rheumatoid arthritis and fibromyalgia and so much more. Everyone can benefit from the practice no matter what your age or fitness level. Harvard Health Publishing’s interactive online video course is the perfect way to get started practicing tai chi. Every tip, technique and fascinating fact is explained by our experts. And the videos are demonstrated by tai chi master, Stanwood Chang and narrated by Harvard Medical School researcher and Tai Chi teacher, Peter Wayne, Ph.D.",Other
25,https://online-learning.harvard.edu/course/predictionx-omens-oracles-prophecies?delta=0,"PredictionX: Omens, Oracles & Prophecies",Humanities,1 week long,Free*,Introductory,"Humans have always sought to know their own future, be it the destiny of an empire or an individual's fate. Across cultures and history, we find people trying to find their place in the Universe by attempting to gaze into the future.",edX
26,https://online-learning.harvard.edu/course/cs50s-introduction-artificial-intelligence-python?delta=0,CS50's Introduction to Artificial Intelligence with Python,Computer Science,7 weeks long,Free*,Introductory,"AI is transforming how we live, work, and play. By enabling new technologies like self-driving cars and recommendation systems or improving old ones like medical diagnostics and search engines, the demand for expertise in AI and machine learning is growing rapidly. This course will enable you to take the first step toward solving important real-world problems and future-proofing your career.",edX
27,https://online-learning.harvard.edu/course/data-analysis-life-sciences-5-introduction-bioconductor-annotation-and-analysis-genomes-and?delta=0,Introduction to Bioconductor,Data Science,5 weeks long,Free*,Intermediate,"We begin with an introduction to the relevant biology, explaining what we measure and why. Then we focus on the two main measurement technologies: next generation sequencing and microarrays. We then move on to describing how raw data and experimental information are imported into R and how we use Bioconductor classes to organize these data, whether generated locally, or harvested from public repositories or institutional archives. Genomic features are generally identified using intervals in genomic coordinates, and highly efficient algorithms for computing with genomic intervals will be examined in detail. Statistical methods for testing gene-centric or pathway-centric hypotheses with genome-scale data are found in packages such as limma, some of these techniques will be illustrated in lectures and labs.",edX
28,https://online-learning.harvard.edu/course/data-analysis-life-sciences-6-high-performance-computing-reproducible-genomics?delta=0,Advanced Bioconductor,Data Science,5 weeks long,Free*,Intermediate,"In this course, we begin with approaches to visualization of genome-scale data, and provide tools to build interactive graphical interfaces to speed discovery and interpretation. Using knitr and rmarkdown as basic authoring tools, the concept of reproducible research is developed, and the concept of an executable document is presented. In this framework reports are linked tightly to the underlying data and code, enhancing reproducibility and extensibility of completed analyses. We study out-of-memory approaches to the analysis of very large data resources, using relational databases or HDF5 as ""back ends"" with familiar R interfaces. Multiomic data integration is illustrated using a curated version of The Cancer Genome Atlas. Finally, we explore cloud-resident resources developed for the Encyclopedia of DNA Elements (the ENCODE project). These address transcription factor binding, ATAC-seq, and RNA-seq with CRISPR interference.",edX
29,https://online-learning.harvard.edu/course/data-analysis-life-sciences-7-case-studies-functional-genomics?delta=1,Case Studies in Functional Genomics,Data Science,5 weeks long,Free*,Advanced,"We will explain how to perform the standard processing and normalization steps, starting with raw data, to get to the point where one can investigate relevant biological questions. Throughout the case studies, we will make use of exploratory plots to get a general overview of the shape of the data and the result of the experiment. We start with RNA-seq data analysis covering basic concepts and a first look at FASTQ files. We will also go over quality control of FASTQ files; aligning RNA-seq reads; visualizing alignments and move on to analyzing RNA-seq at the gene-level : counting reads in genes; Exploratory Data Analysis and variance stabilization for counts; count-based differential expression; normalization and batch effects. Finally, we cover RNA-seq at the transcript-level : inferring expression of transcripts (i.e. alternative isoforms); differential exon usage. We will learn the basic steps in analyzing DNA methylation data, including reading the raw data, normalization, and finding regions of differential methylation across multiple samples. The course will end with a brief description of the basic steps for analyzing ChIP-seq datasets, from read alignment, to peak calling, and assessing differential binding patterns across multiple samples.",edX
30,https://online-learning.harvard.edu/course/culinary-health-education-fundamentals-chef-coaching%E2%80%94-basics?delta=0,Culinary Health Education Fundamentals (CHEF) Coaching—The Basics ,Health & Medicine,self paced,$220,Intermediate,"This HMS CME Online course is targeted to Specialty and Primary Care Physicians, Pharmacists, Physician Assistants, Psychologists, Nurses, Nurse Practitioners, Health and Wellness Coaches, Dietitians Physical Therapists, Social Workers, Exercise Physiologists, Occupational Therapists, Residents, Fellows, and Personal Trainers.",Other
31,https://online-learning.harvard.edu/course/systematic-approaches-policy-design?delta=0,Systematic Approaches to Policy Design,Social Sciences,10 weeks long,Free*,Introductory,"This course will help senior officials make greater use of data and evidence in their everyday decision-making. This unit presents a few over-arching frameworks that are helpful in approaching complicated decisions. You will learn how to orgnaize your thinking, how to break a problem down into parts, and how to figure out where evidence can be most useful in making a decision.",Other
32,https://online-learning.harvard.edu/course/general-psychiatric-management-bpd?delta=0,General Psychiatric Management for BPD,Health & Medicine,self paced,$25,Advanced,"This is HMS CME Online course with faculty from McLean Hospital is targeted to Primary Care and Specialty Physicians, Nurses, Nurse Practitioners, Pharmacists, Physician Assistants, Psychologists, and Social Workers. This course is also of interest to physicians who practice in Psychiatry and Psychology and Mental Health.",Other
33,https://online-learning.harvard.edu/course/health-effects-climate-change?delta=1,The Health Effects of Climate Change,Health & Medicine,7 weeks long,Free*,Introductory,"Our world’s climate is changing. Of the top twenty hottest years ever recorded, sixteen have occurred in the last two decades. This warming has already had a profound effect. Many feel powerless in the face of this challenge, but you can make a difference.",edX
34,https://online-learning.harvard.edu/course/principles-statistical-and-computational-tools-reproducible-data-science?delta=1,"Principles, Statistical and Computational Tools for Reproducible Data Science",Data Science,8 weeks long,Free*,Intermediate,"Today the principles and techniques of reproducible research are more important than ever, across diverse disciplines from astrophysics to political science. No one wants to do research that can’t be reproduced. Thus, this course is really for anyone who is doing any intensive data research. While many of us come from a biomedical background, this course is for a broad audience of data scientists.",edX
35,https://online-learning.harvard.edu/course/religion-conflict-and-peace?delta=2,"Religion, Conflict and Peace",Humanities,8 weeks long,Free*,Introductory,"In this course, we will explore a series of contemporary conflicts in different regions of the world with a special focus on identifying and analyzing the diverse and complex roles that religions play in both promoting and mitigating violence in each context. Students will learn a method for recognizing and analyzing how religious ideologies are embedded in all arenas of human agency and not isolated from political, economic, and cultural life as is often assumed. ",edX
36,https://online-learning.harvard.edu/course/statistics-and-r?delta=0,Statistics and R,Data Science,4 weeks long,Free*,Intermediate,"We will learn the basics of statistical inference in order to understand and compute p-values and confidence intervals, all while analyzing data with R. We provide R programming examples in a way that will help make the connection between concepts and implementation. Problem sets requiring R programming will be used to test understanding and ability to implement basic data analyses. We will use visualization techniques to explore new data sets and determine the most appropriate approach. We will describe robust statistical techniques as alternatives when data do not fit assumptions required by the standard approaches. By using R scripts to analyze data, you will learn the basics of conducting reproducible research.",edX
37,https://online-learning.harvard.edu/course/data-analysis-life-sciences-3-statistical-inference-and-modeling-high-throughput-experiments?delta=0,Statistical Inference and Modeling for High-throughput Experiments,Data Science,4 weeks long,Free*,Intermediate,"In this course, you’ll learn various statistics topics including multiple testing problems, error rates, error rate controlling procedures, false discovery rates, q-values, and exploratory data analysis. We then introduce statistical modeling and how it is applied to high-throughput data. In particular, we will discuss parametric distributions, including binomial, exponential, and gamma, and describe maximum likelihood estimation. We provide several examples of how these concepts are applied in next-generation sequencing and microarray data. Finally, we will discuss hierarchical models and empirical Bayes along with some examples of how these are used in practice. We provide R programming examples in a way that will help make the connection between concepts and implementation.",edX
38,https://online-learning.harvard.edu/course/data-analysis-life-sciences-4-high-dimensional-data-analysis?delta=1,High-Dimensional Data Analysis,Data Science,4 weeks long,Free*,Intermediate,"If you’re interested in data analysis and interpretation, then this is the data science course for you. We start by learning the mathematical definition of distance and use this to motivate the use of the singular value decomposition (SVD) for dimension reduction and multi-dimensional scaling and its connection to principal component analysis. We will learn about the batch effect: the most challenging data analytical problem in genomics today and describe how the techniques can be used to detect and adjust for batch effects. Specifically, we will describe the principal component analysis and factor analysis and demonstrate how these concepts are applied to data visualization and data analysis of high-throughput experimental data.",edX
39,https://online-learning.harvard.edu/course/data-analysis-life-sciences-2-introduction-linear-models-and-matrix-algebra?delta=0,Introduction to Linear Models and Matrix Algebra,Data Science,4 weeks long,Free*,Intermediate,"Matrix Algebra underlies many of the current tools for experimental design and the analysis of high-dimensional data. In this introductory data analysis course, we will use matrix algebra to represent the linear models that commonly used to model differences between experimental units. We perform statistical inference on these differences. Throughout the course, we will use the R programming language.",edX
40,https://online-learning.harvard.edu/course/first-nights-berlioz%E2%80%99s-symphonie-fantastique-and-program-music-19th-century?delta=2,First Nights: Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,Art & Design,3 weeks long,Free*,Introductory,"Six years after the premiere of Beethoven’s monumental Ninth Symphony, composer Hector Berlioz sought to make use of the symphonic genre, but on his terms. Indeed, he wrote not only a five-movement symphony but also a narrative program to accompany and explain the symphony.",edX
41,https://online-learning.harvard.edu/course/first-nights-handel%E2%80%99s-messiah-and-baroque-oratorio?delta=1,Handel's Messiah and Baroque Oratorio,Art & Design,3 weeks long,Free*,Introductory,"While Italian opera set the standard in the Baroque era, German composer George Frederic Handel quickly gained popularity for his oratorios, which put operatic techniques to work in the service of sacred music. Handel’s Messiah premiered in Dublin on April 13, 1742, and remains popular to this day. Harvard’s Thomas Forrest Kelly (Morton B. Knafel Professor of Music) guides learners through Messiah’s musical highlights while detailing Handel’s composition process, the preparations and rehearsals, and the premiere performance.",edX
42,https://online-learning.harvard.edu/course/first-nights-beethoven%E2%80%99s-9th-symphony-and-19th-century-orchestra?delta=1,Beethoven's 9th Symphony and the 19th Century Orchestra,Art & Design,3 weeks long,Free*,Introductory,"Ludwig van Beethoven’s 9th Symphony premiered in Vienna in 1824 and continues to be one of the most popular symphonies in the repertoire. The monumental symphony’s size and complexity stretch traditional instrumental forms to the breaking point, and its famous choral finale changed our view of orchestral music forever.",edX
43,https://online-learning.harvard.edu/course/first-nights-monteverdi%E2%80%99s-l%E2%80%99orfeo-and-birth-opera?delta=1,Monteverdi’s L’Orfeo and the Birth of Opera,Art & Design,3 weeks long,Free*,Introductory,"Claudio Monteverdi’s L’Orfeo premiered in Mantua in 1607 and continues to be regarded as one of the most important examples of early opera. With L’Orfeo, Monteverdi helped to establish the techniques and traditions that continue to inform the genre of opera to this day.",edX
44,https://online-learning.harvard.edu/course/first-nights-igor-stravinsky%E2%80%99s-rite-spring-modernism-ballet-and-riots?delta=1,"Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",Art & Design,3 weeks long,Free*,Introductory,"Igor Stravinsky’s The Rite of Spring premiered in Paris in 1913, sparking a riot and screaming so loud that the dancers could not hear the orchestra, and the choreographer had to shout numbers from backstage to keep the dancers on beat.",edX
45,https://online-learning.harvard.edu/course/computer-science-lawyers-0?delta=0,Computer Science for Lawyers,Social Sciences,12 weeks long,"$1,900",Advanced,"Most attorneys rely on computers, mobile phones, and the cloud every day. But few have an in-depth understanding of how these technologies work or the privacy implications associated with their usage.",Executive Education
46,https://online-learning.harvard.edu/course/improving-your-business-through-culture-health?delta=2,Improving Your Business Through a Culture of Health,Health & Medicine,9 weeks long,Free*,Introductory,"While the United States is one of the world’s wealthiest nations, it is far from the healthiest. Our nation’s burden of disease affects businesses every day, from sick employees and families reducing productivity and increasing costs, to product recalls and failures, to environmental scandals such as toxic chemical emissions harming communities and reputations.",edX
47,https://online-learning.harvard.edu/course/chinax-book-club-five-authors-five-books-five-views-china?delta=1,"ChinaX Book Club: Five Authors, Five Books, Five Views of China",Humanities,5 weeks long,Free*,Introductory,How can literature and literary analysis allow us to understand the dynamics of contemporary China? ****,edX
48,https://online-learning.harvard.edu/course/become-more-resilient-leader-turbulent-times?delta=0,Become a More Resilient Leader in Turbulent Times,Business,9 weeks long,Free*,Introductory,"In this free, 35-minute lesson, Harvard Business School (HBS) Professor Nancy Koehn delves into the career of legendary explorer Ernest Shackleton. She unpacks the courageous actions he took in the midst of crisis and highlights the skills all leaders need to guide themselves and others through challenging times.",Harvard Business School Online
49,https://online-learning.harvard.edu/course/principles-biochemistry-1?delta=1,Principles of Biochemistry,Science,15 weeks long,Free*,Intermediate,"Principles of Biochemistry integrates an introduction to the structure of macromolecules and a biochemical approach to cellular function. Topics addressing protein function will include enzyme kinetics, the characterization of major metabolic pathways and their interconnection into tightly regulated networks, and the manipulation of enzymes and pathways with mutations or drugs. An exploration of simple cells (red blood cells) to more complex tissues (muscle and liver) will be used as a framework to discuss the progression in metabolic complexity. Learners will also develop problem-solving and analytical skills that are more generally applicable to the life sciences.",edX
50,https://online-learning.harvard.edu/course/fat-chance-probability-ground?delta=1,Fat Chance: Probability from the Ground Up,Mathematics,7 weeks long,Free*,Introductory,"Created specifically for those who are new to the study of probability, or for those who are seeking an approachable review of core concepts prior to enrolling in a college-level statistics course, Fat Chance prioritizes the development of a mathematical mode of thought over rote memorization of terms and formulae. Through highly visual lessons and guided practice, this course explores the quantitative reasoning behind probability and the cumulative nature of mathematics by tracing probability and statistics back to a foundation in the principles of counting. ",edX
51,https://online-learning.harvard.edu/course/principles-biochemistry-1?delta=2,Principles of Biochemistry,Science,15 weeks long,Free*,Intermediate,"Principles of Biochemistry integrates an introduction to the structure of macromolecules and a biochemical approach to cellular function. Topics addressing protein function will include enzyme kinetics, the characterization of major metabolic pathways and their interconnection into tightly regulated networks, and the manipulation of enzymes and pathways with mutations or drugs. An exploration of simple cells (red blood cells) to more complex tissues (muscle and liver) will be used as a framework to discuss the progression in metabolic complexity. Learners will also develop problem-solving and analytical skills that are more generally applicable to the life sciences.",edX
52,https://online-learning.harvard.edu/course/food-fermentation-science-cooking-microbes?delta=0,Food Fermentation: The Science of Cooking with Microbes,Science,14 weeks long,Free*,Introductory,"What’s living in your food? Many of the foods that we consume daily owe their distinct characteristics and flavors to microbes, specifically through a biochemical process of fermentation (using bacteria, fungi, and other microorganisms to produce diverse foods). Gourmands and everyday consumers can quickly name some of the most popular fermented foods we consume—beer, yogurt, pickles—but, what about that coffee you drank this morning, or the chocolate bar you are saving for later?",edX
53,https://online-learning.harvard.edu/course/early-childhood-development-global-strategies-interventions?delta=0,Early Childhood Development: Global Strategies for Interventions,Education & Teaching,7 weeks long,Free*,Introductory,How can we ensure that we don’t fail the next generation of children? What investments do we need to make an impact? What implementation decisions do we need to make for program success?,edX
54,https://online-learning.harvard.edu/course/new-ideas-nonprofit-leaders-webinar?delta=0,New Ideas for Nonprofit Leaders Webinar,Social Sciences,10 weeks long,Free*,Introductory,"The ""New Ideas for Nonprofit Leaders"" webinar features a presentation from Arthur Brooks, professor of public leadership at the Harvard Kennedy School and professor of management practice at the Harvard Business School. Explore cutting-edge concepts from Professor Brooks that tie tactics of the most effective nonprofit leaders back to the basics of human connection. ",Executive Education
55,https://online-learning.harvard.edu/course/harvard-kennedy-school-executive-education?delta=0,Harvard Kennedy School Executive Education,Social Sciences,10 weeks long,Free*,Introductory,What kind of leader are you? Browse our program offerrings with our latest Program Guide and find the right one for you.,Executive Education
56,https://online-learning.harvard.edu/course/salary-negotiation-techniques?delta=0,Salary Negotiation Techniques,Business,9 weeks long,Free*,Introductory,"Taught by Mike Wheeler of Negotiation Mastery, this free, 15-minute, Harvard Business School (HBS) Online lesson will explore negotiation techniques through the story of Derek Sanderson and how he became the highest-paid professional athlete in the world in 1972. ",Harvard Business School Online
57,https://online-learning.harvard.edu/course/4p-model-strategic-leadership-podcasts?delta=0,4P Model for Strategic Leadership Podcasts,Social Sciences,10 weeks long,Free*,Introductory,This 4-part podcast series focuses on the less obvious but no less important aspects of successful leadership with practical tips to apply immediately.,Executive Education
58,https://online-learning.harvard.edu/course/science-corresponding-busy-people-webinar?delta=0,The Science of Corresponding with Busy People Webinar,Social Sciences,10 weeks long,Free*,Introductory,"The “The Science of Corresponding with Busy People” webinar features a presentation from Todd Rogers, a behavioral scientist and professor of public policy professor Harvard Kennedy School (HKS). Learn more about his take on the five principles for effective communication and how to implement them in your writing. This free webinar is held in conjunction with the Behavioral Insights and Public Policy executive program from HKS.",Executive Education
59,https://online-learning.harvard.edu/course/ancient-masterpieces-world-literature?delta=2,Ancient Masterpieces of World Literature,Humanities,6 weeks long,Free*,Introductory,"This short literature course, based on the first half of the Masterpieces of World Literature edX MOOC, examines how civilizations and cultures of the ancient world defined themselves through literature and how that literature has continued to contribute to our understanding of those civilizations and cultures today.",edX
60,https://online-learning.harvard.edu/course/modern-masterpieces-world-literature?delta=2,Modern Masterpieces of World Literature,Humanities,8 weeks long,Free*,Introductory,"Based on the second half of the Masterpieces of World Literature edX MOOC, this short literature course examines how writers reach beyond national and linguistic boundaries as worldly readers and travelers, and how their modern fictions rise to the status of world literature.",edX
61,https://online-learning.harvard.edu/course/ancient-masterpieces-world-literature?delta=2,Ancient Masterpieces of World Literature,Humanities,6 weeks long,Free*,Introductory,"This short literature course, based on the first half of the Masterpieces of World Literature edX MOOC, examines how civilizations and cultures of the ancient world defined themselves through literature and how that literature has continued to contribute to our understanding of those civilizations and cultures today.",edX
62,https://online-learning.harvard.edu/course/china-humanities-individual-chinese-culture?delta=1,China Humanities: The Individual in Chinese Culture,Humanities,8 weeks long,Free*,Introductory,"In China’s history, there has been a longstanding belief that being cultured and being moral are necessary for a person to participate in public life. We often think of China in political terms – and focus on the history of government – or in social terms – and study the role of the family in society. But this course looks at the individual and the striving for culture and morality.",edX
63,https://online-learning.harvard.edu/course/women-making-history-ten-objects-many-stories?delta=2,"Women Making History: Ten Objects, Many Stories",Humanities,8 weeks long,Free*,Introductory,"As we approach the centennial of the passage of women’s suffrage in 1920, there has been a recent burst of activism among American women. Women are running for political office in record numbers. Women are organizing and taking to the streets to demand change. Women are grappling with inclusion and intersectionality.",edX
